Trial-ID,Status,Iteration,decay,dense_units,dropout,learning_rate,lstm_units,Objective
13,INTERMEDIATE,2,4.5181101531153697e-05,113,0.35850912368760907,0.00017178767832774002,94,0.015537556260824203
13,INTERMEDIATE,3,4.5181101531153697e-05,113,0.35850912368760907,0.00017178767832774002,94,0.013902528211474419
13,INTERMEDIATE,4,4.5181101531153697e-05,113,0.35850912368760907,0.00017178767832774002,94,0.012598167173564434
13,COMPLETED,4,4.5181101531153697e-05,113,0.35850912368760907,0.00017178767832774002,94,0.012598167173564434
14,INTERMEDIATE,0,3.243721533590963e-05,63,0.49152278644297187,0.054362241117338374,60,0.05149898678064346
14,INTERMEDIATE,1,3.243721533590963e-05,63,0.49152278644297187,0.054362241117338374,60,0.04585938900709152
14,INTERMEDIATE,2,3.243721533590963e-05,63,0.49152278644297187,0.054362241117338374,60,0.04343555495142937
14,INTERMEDIATE,3,3.243721533590963e-05,63,0.49152278644297187,0.054362241117338374,60,0.042593814432621
14,INTERMEDIATE,4,3.243721533590963e-05,63,0.49152278644297187,0.054362241117338374,60,0.04196299985051155
14,COMPLETED,4,3.243721533590963e-05,63,0.49152278644297187,0.054362241117338374,60,0.04196299985051155
15,INTERMEDIATE,0,0.003389259857905193,57,0.23963471639595924,0.011303827631414671,98,0.03761523216962814
15,INTERMEDIATE,1,0.003389259857905193,57,0.23963471639595924,0.011303827631414671,98,0.03396005183458328
15,INTERMEDIATE,2,0.003389259857905193,57,0.23963471639595924,0.011303827631414671,98,0.03312758356332779
15,INTERMEDIATE,3,0.003389259857905193,57,0.23963471639595924,0.011303827631414671,98,0.03241110220551491
15,INTERMEDIATE,4,0.003389259857905193,57,0.23963471639595924,0.011303827631414671,98,0.030477073043584824
15,COMPLETED,4,0.003389259857905193,57,0.23963471639595924,0.011303827631414671,98,0.030477073043584824
16,INTERMEDIATE,0,9.447819312638655e-07,151,0.4890335740985104,0.002105711793000071,193,0.01845131441950798
16,INTERMEDIATE,1,9.447819312638655e-07,151,0.4890335740985104,0.002105711793000071,193,0.011644966900348663
16,INTERMEDIATE,2,9.447819312638655e-07,151,0.4890335740985104,0.002105711793000071,193,0.01026756688952446
16,INTERMEDIATE,3,9.447819312638655e-07,151,0.4890335740985104,0.002105711793000071,193,0.01025556493550539
16,INTERMEDIATE,4,9.447819312638655e-07,151,0.4890335740985104,0.002105711793000071,193,0.009802582673728466
